product_id,brand,product_name,fit_type,rise_type,price,mrp,discount_percent,rating,review_count
JN00001,WROGN,Men Loose Fit Cotton Jeans,Loose Fit,Not Specified,1374.0,2499.0,45.02,4.2,57.0
JN00002,Flying Machine,Men Slim Fit Jeans,Slim Fit,Not Specified,1829.0,2999.0,39.01,4.6,5.0
JN00003,Roadster,Men Pure Cotton Jeans,Other/Unspecified,Not Specified,974.0,2499.0,61.02,3.6,1100.0
JN00004,Bene Kleed,Relaxed Fit Denim Jeans,Relaxed Fit,Not Specified,873.0,2299.0,62.03,4.0,4800.0
JN00005,Levis,Men 511 Slim Fit Jeans,Slim Fit,Not Specified,1478.0,2899.0,49.02,4.3,264.0
JN00006,HERE&NOW,Men Stretchable Jeans,Other/Unspecified,Not Specified,798.0,1699.0,53.03,4.0,33.0
JN00007,Urbano Fashion,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,944.0,2099.0,55.03,4.0,4200.0
JN00008,WROGN,Men Anti Fit Jeans,Anti Fit,Not Specified,1623.0,2799.0,42.02,4.2,42.0
JN00009,Bene Kleed,Men Wide Leg Heavy Fade Jeans,Wide Leg,Not Specified,839.0,2799.0,70.03,3.6,114.0
JN00010,Bene Kleed,Relaxed Fit Denim Jeans,Relaxed Fit,Not Specified,873.0,2299.0,62.03,4.1,5200.0
JN00011,Roadster,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,759.0,1899.0,60.03,4.0,63.0
JN00012,Bene Kleed,Men Bootcut Jeans,Bootcut,Not Specified,873.0,2299.0,62.03,4.0,757.0
JN00013,Bene Kleed,Men Wide Leg Jeans,Wide Leg,Not Specified,857.0,2599.0,67.03,3.6,152.0
JN00014,Flying Machine,Slim Fit Stretchable Jeans,Slim Fit,Not Specified,1829.0,2999.0,39.01,3.6,152.0
JN00015,styzon,Men Jogger Mid-Rise Jeans,Other/Unspecified,Mid-Rise,899.0,3599.0,75.02,4.1,64.0
JN00016,Roadster,Cotton Ecru Straight Fit Jeans,Straight Fit,Not Specified,949.0,2499.0,62.02,3.8,80.0
JN00017,Calvin Klein Jeans,Men Slim Fit Jeans,Slim Fit,Not Specified,949.0,2499.0,62.02,3.8,80.0
JN00018,styzon,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,989.0,1799.0,45.03,3.9,42.0
JN00019,Bene Kleed,Men Bootcut Jeans,Bootcut,Not Specified,850.0,2299.0,63.03,3.9,1000.0
JN00020,WROGN,Men Slim Fit Stretchable Jeans,Slim Fit,Not Specified,1275.0,2199.0,42.02,4.2,130.0
JN00021,HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,Relaxed Fit,Mid-Rise,769.0,2749.0,72.03,3.6,432.0
JN00022,Bene Kleed,Men Mid-Rise Boot Cut Jeans,Bootcut,Mid-Rise,873.0,2299.0,62.03,4.0,591.0
JN00023,Flying Machine,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,2309.0,3499.0,34.01,4.0,591.0
JN00024,WROGN,Men Pure Cotton Loose Jeans,Loose Fit,Not Specified,1449.0,2499.0,42.02,3.9,111.0
JN00025,Urbano Fashion,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,1034.0,2299.0,55.02,3.6,618.0
JN00026,Levis,Men 511 Slim Fit Jeans,Slim Fit,Not Specified,2079.0,3999.0,48.01,3.9,31.0
JN00027,Kotty,Men Low-Rise Jeans,Other/Unspecified,Low-Rise,519.0,1999.0,74.04,3.7,1500.0
JN00028,Bene Kleed,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,873.0,2299.0,62.03,4.1,4200.0
JN00029,Flying Machine,Men Slim Fit Jeans,Slim Fit,Not Specified,1549.0,2499.0,38.02,4.1,4200.0
JN00030,Roadster,Men Wide Leg Jeans,Wide Leg,Not Specified,999.0,2499.0,60.02,3.4,53.0
JN00031,Kotty,Men Straight Fit Jeans,Straight Fit,Not Specified,719.0,1999.0,64.03,3.8,61.0
JN00032,WROGN,Men Anti Fit Jeans,Anti Fit,Not Specified,1399.0,2799.0,50.02,4.1,25.0
JN00033,Mast & Harbour,Men Bootcut Jeans,Bootcut,Not Specified,869.0,2999.0,71.02,4.1,211.0
JN00034,Kotty,Men Low-Rise Cargo  Jeans,Other/Unspecified,Low-Rise,639.0,1999.0,68.03,4.2,2000.0
JN00035,Mufti,Men Mid-Rise Skinny Fit Jeans,Skinny Fit,Mid-Rise,1393.0,3399.0,59.02,3.8,16.0
JN00036,Mast & Harbour,Men Stretchable Jeans,Other/Unspecified,Not Specified,758.0,2299.0,67.03,3.4,441.0
JN00037,Urbano Fashion,Men Slim Fit Jeans,Slim Fit,Not Specified,629.0,1399.0,55.04,4.0,22300.0
JN00038,FUGAZEE,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,2099.0,3499.0,40.01,3.7,124.0
JN00039,The Indian Garage Co,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,659.0,1999.0,67.03,4.0,1600.0
JN00040,Roadster,Men Black Faded Casual Jeans,Other/Unspecified,Not Specified,774.0,2499.0,69.03,3.5,868.0
JN00041,French Connection,Men Slim Fit Jeans,Slim Fit,Not Specified,1294.0,3499.0,63.02,4.4,17.0
JN00042,Mast & Harbour,Men Straight Fit Jeans,Straight Fit,Not Specified,764.0,1699.0,55.03,3.5,38.0
JN00043,Roadster,Men Slim Fit Jeans,Slim Fit,Not Specified,681.0,2199.0,69.03,3.8,185.0
JN00044,Mufti,Men Slim Fit Jeans,Slim Fit,Not Specified,1553.0,4199.0,63.02,3.8,22.0
JN00045,Mast & Harbour,Men Slim Tapered Fit Jeans,Slim Fit,Not Specified,701.0,2599.0,73.03,3.8,314.0
JN00046,The Indian Garage Co,Men Pure Cotton Skater Jeans,Other/Unspecified,Not Specified,688.0,2549.0,73.01,3.7,35.0
JN00047,Mufti,Men Super Skinny Fit Jeans,Skinny Fit,Not Specified,1393.0,3399.0,59.02,3.7,35.0
JN00048,The Indian Garage Co,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,808.0,2449.0,67.01,3.5,589.0
JN00049,glitchez,Men Straight Fit Jeans,Straight Fit,Not Specified,797.0,1399.0,43.03,4.0,230.0
JN00050,Mufti,Men Slim Fit Jeans,Slim Fit,Not Specified,1649.0,3299.0,50.02,4.2,5.0
JN00052,Thomas Scott,Men Bootcut Stretchable Jeans,Bootcut,Not Specified,874.0,3499.0,75.02,3.6,234.0
JN00053,Mast & Harbour,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,819.0,2599.0,68.49,3.4,252.0
JN00054,Mufti,Men Skinny Fit Jeans,Skinny Fit,Not Specified,1762.0,4299.0,59.01,4.9,7.0
JN00055,HIGHLANDER,Men Cotton Relaxed Fit Jeans,Relaxed Fit,Not Specified,574.0,2299.0,75.03,3.5,234.0
JN00056,Mast & Harbour,Men Stretchable Jeans,Other/Unspecified,Not Specified,889.0,2999.0,70.36,3.7,189.0
JN00057,Mufti,Men Slim Fit Jeans,Slim Fit,Not Specified,1214.0,4499.0,73.02,4.4,43.0
JN00058,Urbano Fashion,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,944.0,2099.0,55.03,3.8,567.0
JN00059,Bene Kleed,Men Wide Leg High-Rise Jeans,Wide Leg,High-Rise,1035.0,2799.0,63.02,3.9,45.0
JN00060,Mufti,Men Skinny Fit Jeans,Skinny Fit,Not Specified,2149.0,4299.0,50.01,3.9,45.0
JN00061,Mast & Harbour,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,764.0,1699.0,55.03,4.0,9.0
JN00062,HIGHLANDER,Men Relaxed Fit Cotton Jeans,Relaxed Fit,Not Specified,791.0,2399.0,67.03,3.6,2800.0
JN00063,Mufti,Men Slim Fit Stretchable Jeans,Slim Fit,Not Specified,1332.0,4299.0,69.02,3.4,87.0
JN00064,Bene Kleed,Men Straight Fit Jeans,Straight Fit,Not Specified,989.0,2999.0,67.02,4.1,73.0
JN00065,V-Mart,Men Straight Fit Jeans,Straight Fit,Not Specified,809.0,899.0,10.01,3.5,41.0
JN00066,Flying Machine,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,1424.0,2499.0,43.02,4.1,8.0
JN00067,Urbano Fashion,Men Relaxed Fit Cotton Jeans,Relaxed Fit,Not Specified,1079.0,2399.0,55.02,4.0,485.0
JN00068,The Indian Garage Co,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,661.0,2449.0,73.01,3.8,127.0
JN00069,Levis,Men 511 Slim Fit Jeans,Slim Fit,Not Specified,2079.0,3199.0,35.01,4.2,794.0
JN00070,Kotty,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,659.0,1999.0,67.03,3.4,21.0
JN00071,Urbano Fashion,Men Bootcut Jeans,Bootcut,Not Specified,944.0,2099.0,55.03,4.1,1100.0
JN00072,Levis,Men Regular Fit Jeans,Regular Fit,Not Specified,944.0,2099.0,55.03,4.1,1100.0
